"DATE","PLSTN","NBLV","NBRU","TDML+CPOOL","TDMS","TDMF","TDML+TDMS+TDMF+CPOOL","PLAR","TDML","TDML2","TDML2+CPOOL","PLAR2","PLAR2*10000./((TDML2+CPOOL)/(1.0+FRPT))","DMMF","DMGF","TNSF","TNF-TNSF","TNMF","TDMF/(TDML+TDMS+TDMF+CPOOL)","GP","RMAINT","GRESP","SOSIR","CPOOL","PTNLVS","PTNSTM","PTNFRT","NBRU","NBRUP","TABNF","TNF","TNSF"
25,19.2288290125,16,3,9.43623688987134,3.90113366580462,0.0115521926313175,13.3489227483073,0.189301284927333,8.87993699953257,8.87993699953257,9.43623688987134,0.189301284927333,256.180237602641,0,0.0115521926313175,0.564359685375,0,0,0.00118012910392158,1.29566681842774,0.158912903947542,0.0673797620767728,1,0.556299890338767,0.219936999532576,0.0919336658046166,0.0115521926313175,3,1,0,0.564359685375,0.564359685375
26,19.73661295,16,3,9.67415713981618,3.99472135816796,0.0390849814420562,13.7079634794262,0.192686079546537,9.10383100040182,9.10383100040182,9.67415713981618,0.192686079546537,254.347867235081,0,0.0390849814420562,1.1889339285,0,0,0.00385150986415121,1.43703902917813,0.130346833240738,0.0718780170923594,1,0.570326139414366,0.223894000869243,0.0935876923633435,0.0275327888107387,3,1,0,1.1889339285,1.1889339285
27,20.2340297972222,17,3,9.99839942819539,4.12226446365417,0.0800684920141269,14.2007323838637,0.196860321232752,9.40895804701954,9.40895804701954,9.99839942819539,0.196860321232752,251.430873530922,0,0.0800684920141269,1.80075665058333,0,0,0.00752471626253359,1.74605375386341,0.131687476671768,0.0986778463908316,1,0.589441381175852,0.305127046617716,0.127543105486205,0.0409835105720706,3,1,0,1.80075665058333,1.80075665058333
28,20.7596724936257,17,3,10.2846652785873,4.23486925600296,0.155315842246914,14.6748503768372,0.201644060325723,9.67834750239942,9.67834750239942,10.2846652785873,0.201644060325723,250.372236782525,0,0.155315842246914,2.44729716715964,0,0,0.0139737231704517,1.59814816350945,0.146334978068701,0.0952586662419709,1,0.606317776187904,0.269389455379882,0.112604792348791,0.075247350232787,3,1,0,2.44729716715964,2.44729716715964
29,21.2766532449459,18,3,10.6151493052196,4.36486759545761,0.27331864688982,15.2533355475671,0.206872953591819,9.98934831449189,9.98934831449189,10.6151493052196,0.206872953591819,248.867683478415,0,0.27331864688982,3.08318349128344,0,0,0.0233738821380771,1.63127470268445,0.150006746851583,0.116458740872923,1,0.625800990727761,0.31100081209247,0.129998339454652,0.118002804642906,3,1,0,3.08318349128344,3.08318349128344
30,21.7942586477519,17,4,10.9455333180985,4.49482659376164,0.441504177834658,15.8818640896948,0.212321672339445,10.3002550089991,10.3002550089991,10.9455333180985,0.212321672339445,247.712713211651,0,0.441504177834658,3.7198381367348,0,0,0.0358309566329255,2.29498550265693,0.161188288356671,0.126885671615861,1,0.645278309099398,0.310906694507261,0.129958998304035,0.168185530944838,4,1,0,3.7198381367348,3.7198381367348
31,22.3040019987024,18,4,11.4436963368134,4.69078270658973,0.665773533063048,16.8002525764662,0.219942761555693,10.769049537296,10.769049537296,11.4436963368134,0.219942761555693,245.433728963164,0,0.665773533063048,4,0,0,0.0502840507926884,1.7796463900768,0.165137343004685,0.185212499240278,1,0.674646799517369,0.468794528296859,0.195956112828087,0.22426935522839,4,1,0,4,4
32,22.8003331513562,18,4,12.018171001406,4.91675657049115,0.944985800512749,17.8799133724099,0.228045280193438,11.3096568672037,11.3096568672037,12.018171001406,0.228045280193438,242.311265809874,0,0.944985800512749,4,0,0,0.0659910277343891,1.93226256924626,0.173549603308485,0.217873637762254,1,0.708514134202268,0.540607329907698,0.225973863901418,0.279212267449702,4,1,0,4,4
33,23.333680665703,19,4,12.2589965244115,5.20409279419157,1.32474414804967,18.7878334666527,0.241899818757746,11.9970641009368,11.9970641009368,12.2589965244115,0.241899818757746,251.983160235436,0,1.32474414804967,4.65601744264661,0,0,0.0869949195957994,1.76321229239729,0.199273171421344,0.282187876035501,1,0.261932423474688,0.68740723373306,0.287336223700419,0.379758347536925,4,2,0,4.65601744264661,4.65601744264661
34,23.8605339769955,19,4,12.5702047483075,5.44366558478852,1.66442683974446,19.6782971728405,0.257336407876781,12.5702047482979,12.5702047482979,12.5702047483075,0.257336407876781,261.426603176766,0,1.66442683974446,5.21227668745723,0.0917703280790905,0,0.103263193493481,1.63927109471231,0.215640569543285,0.240082527011016,0.723815871529575,9.65094670846156e-12,0.791832108005547,0.330985821146318,0.469294339977608,4,2,0.0917703280790902,5.30404701553632,5.21227668745723
35,24.3773480140333,20,4,13.1576461478178,5.68921608978417,2.04562446793942,20.8924867055414,0.273582213380759,13.157646147809,13.157646147809,13.1576461478178,0.273582213380759,265.522026175761,0,2.04562446793942,5.729288026218,0.210440254874845,0,0.118022560910744,2.0006984005559,0.227768201141047,0.252956152646194,0.662080148580453,8.82790137287278e-12,0.887266293621155,0.370877310733643,0.575757525750129,4,2,0.118669926795754,5.93972828109284,5.729288026218
36,24.9104754501147,20,4,13.7908521249048,5.95389618820638,2.54289567495035,22.2876439880615,0.292922477658682,13.7908521248956,13.7908521248956,13.7908521249048,0.292922477658682,271.23922480078,0,2.54289567495035,6.27370432895771,0.321770698515254,0,0.135782999536482,2.2856651817733,0.252052192822657,0.290657767191616,0.685237553927304,9.13728352240165e-12,0.924067826489555,0.386260351472634,0.725691702331423,4,2,0.11133044364041,6.59547502747296,6.27370432895771
37,25.4326188699693,21,4,14.3306613831064,6.17953645813565,2.97391889773156,23.4841167389736,0.313824187470649,14.3306613830996,14.3306613830996,14.3306613831064,0.313824187470649,279.647586867445,0,2.97391889773156,6.72314384231919,0.514567591574866,0,0.149262270277421,2.00697071517965,0.265946233118856,0.249265156440516,0.506580623984413,6.75430082234622e-12,1.06559396993558,0.44541827943307,0.850848221140173,4,2,0.192796893059612,7.23771143389406,6.72314384231919
38,25.9459958074371,20,5,14.8828344291456,6.4103447913804,3.40796815174716,24.7011473722731,0.337242773419518,14.8828344291397,14.8828344291397,14.8828344291456,0.337242773419518,289.366265348857,0,3.40796815174716,7.13377497861076,0.735390088368732,0,0.161200718756483,2.04524932362693,0.277282064367855,0.253548048604256,0.43876026521758,5.85013519109149e-12,1.25848462090399,0.526046571537866,0.989262903741641,5,2,0.220822496793866,7.86916506697949,7.13377497861076
39,26.4526407013532,21,5,15.5705861390052,6.69782500610149,3.96478502955535,26.2331961746621,0.362609323891847,15.5705861389988,15.5705861389988,15.5705861390052,0.362609323891847,297.389001593149,0,3.96478502955535,7.56002949879189,0.932308787704442,0,0.174866613379639,2.51203655742359,0.290125278469434,0.319176833830903,0.484940383274004,6.46593889541691e-12,1.41821909162483,0.59281558029918,1.14821717681857,5,2,0.19691869933571,8.49233828649633,7.56002949879189
40,26.9652096424282,21,5,16.2024860769366,6.95801607789732,4.53431773437101,27.694819889205,0.390456339471393,16.1930528179362,16.1930528179362,16.2024860769366,0.390456339471393,307.738419361901,0,4.53431773437101,8.28863277908004,1.34182701844213,0,0.187874521342466,2.43103021644555,0.314426389937027,0.30455800187543,0.424904893576917,0.0094332590004429,1.46495530728626,0.612351318445656,1.36317718864767,5,3,0.409518230737689,9.63045979752217,8.28863277908004
41,27.4703072838696,22,5,16.663829303107,7.1548006486971,4.97573138213473,28.7943613339388,0.412575829768977,16.6638293031031,16.6638293031031,16.663829303107,0.412575829768977,316.169426025476,0,4.97573138213473,8.62521304713961,1.62651684935557,0,0.19718079313712,1.92289646843708,0.329320804534758,0.231036396610505,0.290084350945727,3.86772095832081e-12,1.62289514629835,0.678370171152709,1.52167342472847,5,3,0.284689830913435,10.2517298964952,8.62521304713961
42,27.9963995127768,22,5,17.5379423735092,7.52017991212359,6.02278882589851,31.0809111115313,0.444967466165457,17.5379423735014,17.5379423735014,17.5379423735092,0.444967466165457,323.99664806265,0,6.02278882589851,9.11313056541065,1.78569277264033,0,0.2188440928242,3.65966202384371,0.360128824092267,0.476364536997622,0.580841104421247,7.74550793873156e-12,1.50490911153625,0.629052008622152,1.80265727716889,5,3,0.159175923284767,10.898823338051,9.11313056541065
43,28.5133507235727,23,5,18.3514527353782,7.86022724338534,7.00954768027544,33.221227659039,0.478502656374033,18.3514527353716,18.3514527353716,18.3514527353782,0.478502656374033,332.969765936651,0,7.00954768027544,9.55326081479451,1.98141251253546,0,0.23632021441767,3.46704414221011,0.383703351085091,0.445899280731017,0.496153367792347,6.61456075098007e-12,1.63963486832701,0.685367374960689,1.98881821314153,5,3,0.19571973989513,11.53467332733,9.55326081479451
44,29.0288885912285,24,5,19.1935203934498,8.21221152445923,8.11902145870702,35.5247533766161,0.512880543935354,19.1935203934431,19.1935203934431,19.1935203934498,0.512880543935354,341.234146305417,0,8.11902145870702,9.99513469161,2.17365021293661,0,0.253999189765265,3.72443863046441,0.411514675427915,0.479901191161873,0.502519608971802,6.70101011716421e-12,1.67569114326596,0.70043889788517,2.20782186132329,5,3,0.192237700401147,12.1687849045466,9.99513469161
45,29.5127137360969,24,5,20.1668480063365,8.61906246664521,9.52771404450353,38.3136245174852,0.538321513805522,20.1668480063282,20.1668480063282,20.1668480063365,0.538321513805522,340.874574407293,0,9.52771404450353,10.4603326982168,2.30355713451793,0,0.274150226826268,4.42362859685728,0.418952117274709,0.581014821014083,0.618777445496688,8.25117751901416e-12,1.57298495601084,0.65750771161253,2.27657390560797,5,3,0.129906921581318,12.7638898327347,10.4603326982168
46,30.0052320921151,24,6,20.880038901038,8.91717626063172,10.530664470101,40.3278796317707,0.570280351339437,20.8800389010328,20.8800389010328,20.880038901038,0.570280351339437,348.777132127017,0,10.530664470101,10.8338062811932,2.53588112944399,0,0.286409349017818,3.34610778304493,0.458286830662623,0.419636482143436,0.392464342852495,5.23255512992667e-12,1.81721195235464,0.759594596084241,2.55551986788866,6,3,0.232323994926061,13.3696874106371,10.8338062811932
47,30.5033054554342,24,6,21.5252564591518,9.18496975273587,11.4025935153617,42.1128197272494,0.600381570791144,21.5206931883633,21.5206931883633,21.5252564591518,0.600381570791144,356.180316529666,0,11.4025935153617,11.1757453719717,2.80657227554788,0,0.295765487350393,3.04867659535974,0.488254355202674,0.372061356772932,0.312533182362378,0.00456327078843917,2.0498760563212,0.856848191542262,2.80753143216016,6,3,0.270691146103893,13.9823176475196,11.1757453719717
48,31.0080182712577,25,6,22.2652132736398,9.49499999260425,12.527382871907,44.2875961381511,0.635230394836928,22.2623923268044,22.2623923268044,22.2652132736398,0.635230394836928,364.330313946347,0,12.527382871907,11.557548617302,3.06324814616092,0,0.307589547623021,3.63766894009179,0.518741967179457,0.453882176037003,0.367107698391011,0.00282094683539036,2.02038568434248,0.844521216055156,3.06968519485482,6,4,0.256675870613034,14.6207967634629,11.557548617302
49,31.5005443641288,25,6,22.8764881073119,9.75169202885481,13.4176880048594,46.045868141026,0.664083759621755,22.8764881073082,22.8764881073082,22.8764881073119,0.664083759621755,370.701550456046,0,13.4176880048594,11.880159431801,3.34644442589342,0,0.315815319115551,3.05601482033337,0.533971323140893,0.366894364522222,0.277439176100507,3.69955917752425e-12,2.21344292156221,0.925219141213005,3.20901015302129,6,4,0.283196279732507,15.2266038576944,11.880159431801
50,32.000643084472,26,6,23.6418644128912,10.0716193245865,14.6673346507939,48.3808183882716,0.700045058239371,23.6418644128864,23.6418644128864,23.6418644128912,0.700045058239371,378.124805962523,0,14.6673346507939,12.2447370329295,3.59698825078704,0,0.327243793804353,3.91415502019586,0.56655609941376,0.486447968175937,0.359852172594203,4.79793982322008e-12,2.12691867346695,0.889052005509186,3.4726666701099,6,4,0.250543824893616,15.8417252837165,12.2447370329295
51,32.4818806003263,26,6,24.2162568343425,10.3117153567538,15.5287628168044,50.0567350079007,0.727032955880069,24.2162568343393,24.2162568343393,24.2162568343425,0.727032955880069,383.387528060158,0,15.5287628168044,12.5454951755767,3.8881522526406,0,0.333975338573036,2.97665007624361,0.573902234480562,0.349149295756381,0.243978390770355,3.25280543241509e-12,2.35427580139059,0.984087284981267,3.53075599560492,6,4,0.291164001853562,16.4336474282173,12.5454951755767
52,32.9552939238627,26,6,25.0693977228811,10.668328248162,17.0604944547514,52.7982204257945,0.759987182438497,25.0693977228756,25.0693977228756,25.0693977228811,0.759987182438497,387.126823987547,0,17.0604944547514,12.9157248779536,4.10022093821353,0,0.346488851693224,4.52118757607829,0.590742532503603,0.571142795394047,0.4189144308012,5.58605014096732e-12,2.03655168169926,0.851278602950293,3.65643082530591,6,4,0.212068685572925,17.0159458161671,12.9157248779536
53,33.4366484662723,27,6,25.6739842480944,10.921045415702,18.0465822221699,54.6416118859663,0.788393753709386,25.673984248091,25.673984248091,25.6739842480944,0.788393753709386,392.139690418956,0,18.0465822221699,13.220897788192,4.38711411513888,0,0.353289208305658,3.27306208449757,0.630206944465046,0.384039887536259,0.254023617301673,3.38632825484334e-12,2.38004061054458,0.994856975207634,3.88187436228625,6,4,0.286893176925352,17.6080119033309,13.220897788192
54,33.9291054900556,26,7,26.6030501788083,11.3080412796675,19.8150388071917,57.7261302656675,0.831182114545544,26.5998116738458,26.5998116738458,26.6030501788083,0.831182114545544,398.984159012028,0,19.8150388071917,13.6088838568247,4.60485018575977,0,0.365819723690898,5.09274368512741,0.671655866544496,0.642439323637435,0.425390044965067,0.00323850496250048,2.17642005663497,0.909743583673417,4.16296874997339,7,4,0.217736070620886,18.2137340425844,13.6088838568247
55,34.3998453962114,27,7,27.3921899375437,11.6392553938912,21.3525403276409,60.3839856590758,0.866575709990028,27.3921899375388,27.3921899375388,27.3921899375437,0.866575709990028,403.990036641991,0,21.3525403276409,13.9563854905702,4.83635863658574,0,0.375766326138204,4.49467202343973,0.682722143642944,0.554394562159563,0.370089150727225,4.93412718090743e-12,2.1410469940444,0.894957643510561,4.15440851867199,7,4,0.231508450825969,18.792744127156,13.9563854905702
56,34.8934351224175,27,7,28.200287280354,11.9758616496589,23.0003558338808,63.1765047638936,0.904411800382169,28.1974680613848,28.1974680613848,28.200287280354,0.904411800382169,409.546845252398,0,23.0003558338808,14.4404089114281,5.16670645180545,0,0.385805171319115,4.74935274952503,0.746751602461242,0.581627979182669,0.362126444481258,0.00281921896911837,2.22374846167231,0.929526856979025,4.55622599676917,7,5,0.330347815219719,19.6071153632335,14.4404089114281
57,35.3639144639936,28,7,28.9837876690388,12.3045432456562,24.6452443743293,65.9335752890242,0.940947742663367,28.9837876690339,28.9837876690339,28.9837876690388,0.940947742663367,414.573236977129,0,24.6452443743293,14.7857727530179,5.40003220035427,0,0.395123163296783,4.70463285413907,0.750620898773388,0.574977030019764,0.365483935957468,4.87254681047489e-12,2.15144779370163,0.89930517776728,4.50057684789706,7,5,0.23332574854882,20.1858049533722,14.7857727530179
58,35.8730397281077,28,7,29.9911372717043,12.7256153795697,27.0864657840471,69.8032184353211,0.988278186014844,29.9911372716979,29.9911372716979,29.9911372717043,0.988278186014844,420.80139612833,0,27.0864657840471,15.2140118226937,5.59801720553883,0,0.408894169453646,6.39296465559306,0.845089177031443,0.806175655478184,0.484716700092459,6.46357041963104e-12,2.07822342921505,0.868697393411891,5.03638807833964,7,5,0.197985005184552,20.8120290282325,15.2140118226937
59,36.3654469849165,29,7,30.9047213515418,13.1074935249421,29.1743495932722,73.1865644697561,1.03120304489527,30.9047213515362,30.9047213515362,30.9047213515418,1.03120304489527,426.09874179162,0,29.1743495932722,15.5988564429202,5.81883351118706,0,0.419011763907219,5.71717801969294,0.866502701505809,0.704863757174135,0.418373507433675,5.57716835677032e-12,2.18365662166874,0.912768467857535,4.99047805878601,7,5,0.220816305648237,21.4176899541073,15.5988564429202
60,36.8370125794264,29,7,31.8824953356523,13.5162030503002,31.3645561655223,76.7632545514748,1.0703848947518,31.8824953356464,31.8824953356464,31.8824953356523,1.0703848947518,428.724758274972,0,31.3645561655223,15.9800317779524,6.01768385740206,0,0.428458493515032,6.00328919988283,0.875418114981141,0.745143767024654,0.44817774703179,5.97684864563538e-12,2.18166562393116,0.911936230803226,4.88691503930194,7,5,0.198850346214998,21.9977156353545,15.9800317779524
61,37.3264144501428,30,7,32.8773545927145,13.9320542197522,33.678846612207,80.4882554246738,1.11712847769912,32.8773545927086,32.8773545927086,32.8773545927145,1.11712847769912,433.907497636048,0,33.678846612207,16.3740508092367,6.225629127099,0,0.437795533335401,6.29101615074196,0.950513106728638,0.776041848583128,0.444596546381031,5.9300712488645e-12,2.2376675328684,0.935345028738992,5.20537207390121,7,5,0.207945269696943,22.5996799363357,16.3740508092367
62,37.819594947334,29,8,34.0292671955606,14.4135536877414,36.5026349357127,84.9454558190148,1.16543129419735,34.0292671955537,34.0292671955537,34.0292671955606,1.16543129419735,437.345815922878,0,36.5026349357127,16.8059486136921,6.40034333418872,0,0.448515457318165,7.39779202256472,1.00754056114378,0.928583415487502,0.523265206997598,6.97397695148538e-12,2.20139345677986,0.920182464933983,5.3964763675156,8,5,0.174714207089712,23.2062919478808,16.8059486136921
63,38.2658855886439,30,8,35.1579669907116,14.8853502021147,38.9497711648641,88.9930883576905,1.19958355671041,35.1579669907051,35.1579669907051,35.1579669907116,1.19958355671041,435.710120077164,0,38.9497711648641,17.1831181101064,6.57211132658563,0,0.455909670522381,6.77441829469048,0.971360891570596,0.843256778890853,0.489164476460927,6.52159807638479e-12,2.30740343885455,0.964494637441201,5.0026858999579,8,5,0.171767992396909,23.755229436692,17.1831181101064
64,38.7225034662908,30,8,36.4829760728034,15.4320737851035,42.1086391181667,94.0236889760736,1.23558059839395,36.4659181461805,36.4659181461805,36.4829760728034,1.23558059839395,432.485667013687,0,42.1086391181667,17.3725282448246,6.62747175517539,0,0.465475591309391,8.26270425235573,1.04457639724037,1.04888420394613,0.607982550099562,0.0170579266228934,2.15129719637717,0.899242228085655,5.23036300952474,8,5,0.0553604285897645,24,17.3725282448246
65,39.2181081511304,31,8,37.8520447851393,16.0114747201847,45.7584585762467,99.6219780815707,1.28605101428935,37.8520447851308,37.8520447851308,37.8520447851393,1.28605101428935,433.870126322015,0,45.7584585762468,17.856465217431,6.75312854492157,0,0.476343080686836,9.2258521901201,1.19223336818677,1.16986396502325,0.635435597730844,8.47440636183213e-12,2.18138021209417,0.911816928655364,5.74380703743021,8,6,0.125656789746174,24.6095937623526,17.856465217431
66,39.6983489273863,31,8,39.0325292748251,16.504917236874,48.6413213319374,104.178767843636,1.33443967113628,39.0325292748182,39.0325292748182,39.0325292748251,1.33443967113628,436.579307490617,0,48.6413213319374,18.2718946306019,6.92839528654554,0,0.483421953720671,7.75787211386043,1.22484019691907,0.949331200430708,0.511353183144268,6.82002602540403e-12,2.30855019309493,0.964973980713681,5.63771352309605,8,6,0.175266741623979,25.2002899171474,18.2718946306019
67,40.1770139899833,32,8,40.2297137963735,17.0053403668813,51.5341170939968,108.769171257252,1.38377814951028,40.2297137963668,40.2297137963668,40.2297137963735,1.38377814951028,439.248637429759,0,51.5341170939968,18.6850798684169,7.10396807572485,0,0.489825330607238,7.86133891298874,1.28011538092339,0.956334044503176,0.509303096391972,6.78805160229482e-12,2.3506327175893,0.982564475952327,5.67991002323123,8,6,0.175572789179303,25.7890479441418,18.6850798684169
68,40.6534378099798,32,8,41.0973490921257,17.3680119205065,53.6591941107943,112.124555123426,1.42454409919332,41.0973490921207,41.0973490921207,41.0973490921257,1.42454409919332,442.642373500051,0,53.6591941107943,19.0372442669355,7.33780497580191,0,0.494260710134993,6.14044676495646,1.32986057689108,0.699038305453465,0.371180555687971,4.94774591667616e-12,2.3375020120487,0.977075841036358,5.72518410308082,8,6,0.233836900077063,26.3750492427374,19.0372442669355
69,41.1249354662096,33,8,42.0470449463635,17.7649847875777,55.9665084123187,115.77853814626,1.46916567417706,42.0470449463582,42.0470449463582,42.0470449463635,1.46916567417706,446.19653255475,0,55.9665084123187,19.3990179550291,7.55597340487103,0,0.498727833536513,6.59967124181204,1.36098590441622,0.76124646309021,0.402479442574169,5.36578189288169e-12,2.35961332127519,0.98631836829303,5.73275068850046,8,6,0.218168429069116,26.9549913599001,19.3990179550291
70,41.6070573681304,32,9,43.3775114530776,18.3211197873831,59.5233243895444,121.221955630005,1.51905275768904,43.3775114530696,43.3775114530696,43.3775114530776,1.51905275768904,447.197247280369,0,59.5233243895444,19.8539879582943,7.69401334096845,0,0.5058842008093,9.24971240276836,1.44552963037434,1.13404530911304,0.598933626491787,7.98650034994353e-12,2.22139223423569,0.928541953910518,5.93858120483153,9,6,0.138039936097422,27.5480012992627,19.8539879582943
71,42.0851243706985,33,9,44.3860866761329,18.7427042306211,62.156917058345,125.285707965099,1.56644078696346,44.386086676127,44.386086676127,44.3860866761329,1.56644078696346,450.669350408843,0,62.1569170583451,20.2373803845609,7.89864332786049,0,0.510630975965788,7.32912458460438,1.50295636224622,0.846615069811661,0.441100113731414,5.8821096142007e-12,2.28649957608371,0.955756822802991,5.97051006521445,9,6,0.204629986892048,28.1360237124214,20.2373803845609
